    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2 
0.655 -10.07 -12.63 -15.1 -9.708 -10.07 -13.12 -11.78 -6.427 -3.826 1.618 -6.019 1.892 4.764 5.213 1.888
0.66 -11.06 -14.52 -15.55 -10.52 -10.83 -13.98 -10.61 -6.607 -3.912 0.809 -6.62 1.29 5.034 2.427 0.4494
0.665 -10.43 -13.53 -14.61 -9.888 -9.258 -11.96 -9.303 -7.506 -4.471 0.8989 -6.019 -0.6019 3.596 0.08989 -1.708
0.67 -8.449 -10.61 -13.03 -8.854 -6.157 -8.315 -8.09 -9.124 -5.804 1.258 -4.815 -2.923 1.348 -1.798 -3.416
0.675 -6.112 -7.371 -11.15 -7.64 -3.236 -5.124 -7.146 -10.79 -7.437 0.7191 -3.955 -4.815 -0.4494 -3.506 -3.955
0.68 -4.225 -4.854 -8.449 -5.798 -1.843 -3.371 -6.427 -11.51 -8.297 -1.169 -4.041 -5.761 -1.258 -5.393 -3.685
0.685 -2.697 -2.831 -5.213 -3.191 -1.663 -2.562 -6.202 -11.01 -7.824 -3.685 -4.643 -6.105 -1.528 -6.652 -3.775
0.69 -0.6292 -0.9438 -2.292 -0.764 -1.663 -1.933 -5.978 -9.393 -6.105 -5.303 -4.901 -5.675 -1.618 -6.382 -3.955
0.695 1.618 0.7191 -0.3146 0.4944 -1.438 -1.438 -4.404 -6.292 -3.482 -5.034 -4.213 -3.611 -0.8989 -4.404 -2.427
0.7 3.146 1.483 0.809 0.5843 -1.483 -1.663 -0.6742 -1.618 -0.3009 -3.236 -3.009 0.08598 0.8989 -1.528 1.528
0.705 2.966 0.8989 1.393 0.2247 -1.798 -2.517 3.82 3.236 2.536 -1.528 -2.149 3.439 3.056 0.3596 5.663
0.71 1.798 0.08989 1.708 0.764 -1.573 -2.517 6.607 6.382 4.256 -0.9888 -1.462 3.611 3.596 0.4494 6.382
0.715 1.348 0.9438 2.247 3.056 0.04494 -0.3146 6.202 6.742 4.643 -1.618 -0.6878 0 1.348 -0.8989 2.157
0.72 2.966 4.404 3.551 6.697 3.101 3.91 3.64 5.079 3.912 -2.427 0.3439 -6.019 -3.326 -2.787 -5.303
0.725 6.112 8.989 5.169 9.663 5.978 7.91 1.034 2.472 2.106 -3.146 0.8598 -11.87 -8.899 -5.034 -12.94
